name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Sophia Taylor,0e907d4a-9d87-49ff-b6ff-50d8ae34c86a,34,4,436.44,2025-02-04,155,8,0.19,5912.36,422.31,2602.47,Quarterly,1,11,Suspended,1
Oliver Davis,abade9a9-5df7-45f9-9891-352d157ce973,92,1,498.67,2024-10-19,263,7,0.79,4666.01,583.25,635.58,Bi-Monthly,0,10,Closed,0
William Miller,379a2f14-21e0-41a3-ae5e-554797b41228,34,4,151.44,2024-09-24,288,3,0.69,1741.07,290.18,3815.09,Bi-Monthly,1,13,Active,0
Isabella Williams,70bfe2ea-3181-4e3f-b469-e3307d254dd0,102,1,152.49,2025-07-03,6,5,0.15,3777.8,314.82,1384.53,Bi-Monthly,1,2,Active,0
Liam Smith,e215f373-159e-44dc-81aa-4aec9617a510,22,1,442.24,2025-01-19,171,7,0.14,7173.43,478.23,56.82,Bi-Monthly,1,0,Suspended,1
Isabella Miller,7da57e23-9b31-4529-ada8-53385d741afd,46,4,467.99,2024-08-04,339,3,0.66,5399.12,599.9,2931.59,Quarterly,1,13,Active,0
Isabella Williams,a90ac228-7eca-42f1-99c8-3b663e718fc4,111,6,474.13,2025-06-16,23,3,0.09,6755.41,844.43,1767.85,Bi-Monthly,1,15,Active,0
Liam Johnson,e2097f78-d822-40b3-a430-931e684a904b,26,8,335.45,2025-05-08,62,7,0.05,7123.21,474.88,3511.55,Bi-Monthly,1,2,Closed,1
Olivia Johnson,e8aec13a-bd19-4007-bd85-7185148479f8,109,8,203.44,2024-07-23,351,5,0.79,4289.96,536.25,3420.08,Monthly,0,4,Suspended,1
Liam Brown,27b867c8-e07b-4cd1-8691-cd771674ef12,24,6,327.98,2024-12-01,220,9,0.18,1688.94,129.92,436.18,Quarterly,1,0,Closed,0
Liam Wilson,aa6495ef-a637-49cf-bf58-5b7595e90fa3,92,1,367.44,2025-04-04,96,4,0.4,3175.35,396.92,4466.42,Bi-Monthly,1,10,Closed,0
Isabella Williams,b5abb00e-64b8-44ff-9d9e-2928d3d48c88,23,7,194.77,2024-11-18,233,10,0.6,6451.58,645.16,4280.1,Bi-Monthly,0,5,Suspended,0
Isabella Brown,31e326ae-9c66-4d32-bb8a-a3a601a3a968,112,3,469.87,2024-09-04,308,2,0.17,6669.88,444.66,3693.19,Monthly,0,12,Suspended,0
Noah Williams,95cfba24-5d36-4a83-adfb-842d7a568944,14,2,236.04,2025-03-05,126,0,0.0,6431.7,459.41,257.28,Bi-Monthly,1,0,Active,0
Isabella Jones,dc499281-10d3-413f-bfe0-6bf6dfec127c,114,6,229.69,2025-05-27,43,6,0.51,7568.91,630.74,168.41,Quarterly,0,7,Active,0
William Miller,aa7f3e30-13da-4bfc-a91f-166989c4a0b5,45,5,336.52,2025-04-04,96,4,0.28,7807.53,650.63,552.04,Monthly,1,4,Active,0
Olivia Williams,96c37160-f407-4d50-bfae-f33f0a398464,103,3,135.45,2025-05-17,53,1,0.25,6196.66,442.62,658.89,Quarterly,0,6,Active,0
William Brown,a76a2522-1959-4f1f-b9a6-345d385101c0,99,1,387.12,2025-04-19,81,10,0.68,5024.15,558.24,167.96,Quarterly,1,3,Suspended,0
Emma Brown,ab63f1db-3240-490f-97ca-ea6bfcd6f097,12,8,170.49,2025-05-02,68,4,0.59,8854.87,590.32,2330.2,Bi-Monthly,0,11,Active,0
Emma Taylor,4b744656-0449-4dba-8eed-f947c39d47ca,110,4,440.18,2024-11-09,242,8,0.73,2514.78,228.62,3304.82,Monthly,0,12,Suspended,0
Isabella Smith,08e16814-b23c-4484-81b2-800561fa9519,29,5,211.53,2024-09-10,302,10,0.3,7455.36,1242.56,3115.15,Monthly,0,14,Active,0
Emma Miller,edc52a93-7d67-455e-9d30-d6a40350b04a,54,4,278.82,2025-01-25,165,4,0.39,3458.55,432.32,2244.18,Monthly,0,1,Suspended,1
Ava Brown,db3c7f09-c10f-47b7-bb20-0dd9f576562d,100,7,415.41,2025-04-25,75,10,0.0,7629.14,1271.52,605.73,Monthly,0,9,Suspended,0
Ava Davis,69733398-6bde-40a3-8e59-1526ac8c0da2,59,8,438.91,2025-02-22,137,0,0.0,1156.72,88.98,2600.94,Monthly,0,8,Closed,1
Isabella Davis,4d31353c-aa41-464a-8be5-e767a1a9f245,116,1,229.57,2025-04-17,83,1,0.34,4051.89,311.68,1649.02,Quarterly,0,12,Active,0
Isabella Moore,06870ee2-7d28-404a-9da9-309917a67d9c,3,7,445.05,2024-07-17,357,2,0.17,6253.29,1250.66,1479.35,Bi-Monthly,0,7,Active,0
Ava Johnson,0aa48195-504d-4623-a619-28821dc78159,50,1,220.47,2025-05-05,65,6,0.56,6865.49,572.12,2217.66,Quarterly,0,4,Closed,0
Ava Brown,e3f95bef-4f73-4e0b-bb8f-68003196efe4,42,5,274.31,2025-04-11,89,1,0.51,2603.23,433.87,1823.86,Bi-Monthly,0,8,Closed,0
Liam Wilson,fe881c7d-5819-4680-a91b-6ee329b89ed1,7,6,106.2,2024-08-02,341,10,0.18,2185.16,218.52,2523.18,Bi-Monthly,0,9,Active,0
Isabella Wilson,8a614292-9b34-4c04-a66a-a14ca3eed67a,67,8,290.04,2025-05-06,64,5,0.14,9050.6,905.06,4709.9,Quarterly,0,11,Closed,1
Noah Miller,15cbec72-589f-4800-a1b2-94b42a0aeba0,112,2,225.62,2025-05-12,58,6,0.52,7635.09,509.01,2818.35,Monthly,1,15,Active,0
Sophia Wilson,425b8565-9d47-4ab8-9e60-27f164b8fca7,94,2,381.16,2025-02-08,151,9,0.28,9891.58,1413.08,2927.54,Quarterly,0,10,Active,0
Isabella Smith,4433f349-cfbe-4ccb-bada-d0d16d717bf9,71,4,412.91,2024-09-10,302,8,0.45,8145.28,581.81,1469.88,Quarterly,0,3,Suspended,1
James Wilson,0935f715-351c-4f77-8446-8cc7c50518c7,19,3,367.61,2025-05-18,52,7,0.85,9332.32,777.69,4597.38,Monthly,1,12,Closed,0
James Taylor,7b010928-6982-4fee-823f-b7cdb48fa5cc,85,2,170.34,2024-09-17,295,9,0.71,9806.44,653.76,1246.68,Quarterly,0,15,Suspended,1
Isabella Jones,03951aec-fdf0-4ce6-ba4b-ce3c62298382,101,1,134.98,2025-01-24,166,1,0.83,2087.05,139.14,1821.85,Monthly,1,9,Active,0
Emma Davis,ef765a48-18e9-4375-a5e2-24b15f59ef01,85,4,115.56,2025-03-12,119,1,0.09,1016.28,127.03,4795.12,Bi-Monthly,1,5,Suspended,1
James Williams,4db29483-24f8-4db0-9be2-61e9113aec7f,112,2,402.3,2025-05-15,55,7,0.73,5753.7,479.47,3707.86,Bi-Monthly,1,15,Active,0
Liam Miller,2f78a8ed-ef14-4bc9-90ee-e64f2761feaa,48,2,205.51,2025-05-30,40,5,0.94,1931.45,160.95,4018.46,Monthly,0,4,Closed,0
James Brown,571b7dc1-d07e-4f86-a798-c3bd5d2042cb,32,3,142.87,2025-06-17,22,7,0.9,3440.67,344.07,1707.41,Quarterly,1,13,Active,0
Noah Taylor,0b3e3765-dd06-48d2-8968-f95653092115,95,8,257.18,2024-08-24,319,6,0.47,7172.28,551.71,2097.28,Quarterly,0,3,Closed,1
Isabella Taylor,0da9be67-35d5-4756-ad2f-33c2b7ccbf6e,113,4,308.45,2025-02-04,155,1,1.0,1587.55,158.75,2952.85,Bi-Monthly,1,4,Active,0
William Wilson,fd2cc67d-4fd0-426d-be70-041a5934e439,70,7,386.53,2024-12-26,195,3,0.32,4217.34,527.17,4660.58,Bi-Monthly,0,9,Suspended,0
Sophia Davis,147a018e-7f7e-4600-bcd4-7f418de6cc8d,97,6,181.02,2025-04-19,81,0,0.0,8476.73,1412.79,361.65,Monthly,0,1,Active,0
Olivia Brown,72ea0a8b-b14c-4f55-8435-7dd6db09a9db,27,5,108.1,2024-11-21,230,10,0.67,5906.18,1181.24,1055.08,Monthly,0,13,Suspended,1
Isabella Smith,18f15147-55ac-456e-9bb0-af40e026ac3e,86,3,125.1,2025-04-25,75,10,0.13,7919.55,1319.92,717.47,Bi-Monthly,0,5,Active,0
Isabella Wilson,dd2a8a76-dddc-4c75-ac84-b1d32a188e76,86,5,432.59,2025-05-02,68,0,0.0,6595.15,549.6,3283.41,Monthly,1,12,Active,0
Liam Williams,29e064cd-fc62-4d60-8507-45d86e698851,30,3,379.08,2024-09-06,306,4,0.09,1872.61,133.76,3003.57,Bi-Monthly,1,0,Active,0
Isabella Jones,3e461762-1c75-4d35-b77d-18ae42a72183,58,4,407.2,2024-10-23,259,0,0.0,9256.67,925.67,1265.19,Monthly,1,9,Suspended,0
William Wilson,32490867-d0c9-412d-94af-4d7849613739,61,4,464.17,2024-11-11,240,2,0.57,2179.65,145.31,954.17,Monthly,1,13,Suspended,0
William Johnson,bd8e6732-ee06-4573-9c5c-ede8647869ea,113,2,173.91,2024-09-29,283,8,0.68,9985.33,768.1,1656.81,Bi-Monthly,1,2,Closed,0
Ava Taylor,ff91cab6-afdd-48a4-85d0-7a4b82971c4a,68,3,236.42,2025-06-19,20,5,0.51,7401.7,569.36,3480.48,Bi-Monthly,0,9,Suspended,0
William Taylor,e616ce0b-1110-4265-a11b-30a490574d6f,63,8,227.09,2024-09-02,310,7,0.16,2215.26,369.21,3510.82,Bi-Monthly,1,4,Closed,1
Liam Moore,becbdc3d-9f1f-449b-a477-10d1998c9bd4,69,8,276.37,2025-03-18,113,1,0.26,5315.07,408.85,4355.75,Bi-Monthly,1,3,Suspended,0
Liam Davis,0b055e86-24e5-4d24-b7cf-e57c7e600bae,70,2,414.01,2024-10-27,255,2,0.82,7931.75,566.55,68.26,Monthly,1,12,Active,0
Olivia Smith,719bf7b8-6eff-425c-bb25-1943a61c9c62,96,7,258.07,2025-07-02,7,7,0.65,9976.41,1247.05,658.11,Quarterly,0,3,Active,0
James Johnson,1961a61f-e698-44f2-bb95-bc0852ff6f41,3,8,295.39,2025-05-22,48,9,0.37,3481.09,497.3,137.65,Monthly,1,0,Closed,0
Isabella Moore,830d6f8c-a5ac-4c6a-802e-7a9f1aea91cd,10,7,363.87,2025-07-05,4,10,0.84,2975.97,372.0,4869.1,Monthly,1,2,Suspended,0
Isabella Wilson,71699871-7220-401d-8510-193d133f9b58,5,2,346.09,2025-03-23,108,6,0.49,9624.24,641.62,529.06,Quarterly,0,10,Active,0
James Smith,319df22b-8652-4efc-8709-e688c9c89794,74,1,232.21,2024-11-16,235,5,0.34,8313.37,923.71,291.3,Quarterly,0,11,Suspended,1
Emma Brown,24d3d0d7-60e6-4eec-86c2-e116b283d570,38,6,381.49,2024-08-07,336,8,0.28,1302.31,100.18,2579.53,Quarterly,1,0,Active,0
Liam Moore,b2ae4a1e-ce3d-4285-ad9d-9959d9c2afee,43,1,197.36,2024-09-26,286,2,0.93,7036.68,541.28,1522.86,Quarterly,0,15,Active,0
Liam Jones,697503a8-3a34-439e-b2e2-022c01989196,108,3,324.24,2025-06-11,28,7,0.69,6122.31,1020.39,4842.86,Bi-Monthly,0,8,Suspended,1
William Jones,3fba6557-690d-4c76-b001-78684947522e,40,7,161.45,2024-11-19,232,9,0.03,8076.86,734.26,4133.12,Bi-Monthly,1,8,Closed,0
Olivia Davis,a95748b4-4159-43c9-b5a4-09cb8c0ba4bf,9,6,105.66,2024-10-12,270,3,0.76,8632.78,719.4,4541.85,Quarterly,1,1,Active,0
James Moore,d8612a0d-e1b4-4edd-9a6b-1e3a62e92241,6,5,276.79,2025-01-16,174,8,0.63,6410.0,641.0,911.46,Quarterly,0,14,Active,0
Emma Taylor,85d7bcb4-90d4-410d-860c-fa481d15b12f,52,8,323.84,2025-01-04,186,5,0.92,1030.95,114.55,4644.45,Quarterly,0,7,Closed,0
Sophia Johnson,45744189-7adb-4199-8da8-5adbd56cb6da,46,2,152.13,2024-11-10,241,5,0.71,2735.31,182.35,1285.22,Bi-Monthly,1,14,Closed,0
James Brown,04faf90c-6f8e-4945-a4d4-3452b80f4992,67,2,120.11,2024-10-04,278,7,0.07,2746.56,549.31,2022.3,Monthly,0,10,Active,0
Liam Johnson,d69159ed-3fb9-49b3-bb62-3d5abbf8829d,113,2,206.9,2025-01-20,170,8,0.8,8325.65,555.04,3672.69,Quarterly,0,8,Suspended,0
Emma Wilson,afe717cd-33dd-4de2-a924-95818573060a,103,2,348.29,2024-08-25,318,6,0.08,1270.97,115.54,4019.11,Bi-Monthly,0,6,Active,0
Ava Johnson,3af98496-7eec-4a4d-b1db-06e19ea69b15,86,5,450.86,2024-08-13,330,5,0.3,9158.46,654.18,4403.28,Quarterly,1,15,Suspended,0
Emma Wilson,40345aa8-6c2d-4c99-9d62-d7780b473f39,53,7,361.26,2025-04-03,97,2,0.89,8219.34,684.95,1347.61,Quarterly,1,14,Suspended,1
James Taylor,ca6b17bc-86e7-4287-880e-ddf3f4d50d16,70,5,257.46,2024-08-06,337,3,0.99,2644.54,377.79,3537.43,Monthly,0,13,Active,0
James Brown,14c3d51e-ebcc-4f98-a799-763946fe5784,39,3,246.02,2025-01-24,166,7,0.26,8570.72,1224.39,4632.51,Bi-Monthly,0,1,Closed,0
James Wilson,c3ee35c9-b3ad-454f-b733-5f1715f1a849,117,5,300.56,2024-08-22,321,5,0.84,4681.25,936.25,4256.93,Quarterly,1,15,Active,0
Ava Williams,7adec69b-75a0-4720-9f17-8bddc564ff5f,95,4,326.01,2025-04-11,89,3,0.26,6917.74,461.18,3939.62,Bi-Monthly,0,15,Closed,1
Noah Smith,becffedd-e946-49ad-9407-1ee8cdab8a31,12,5,472.06,2024-10-15,267,5,0.47,7146.3,1020.9,773.2,Monthly,0,13,Closed,0
Emma Moore,319adcb7-d644-4235-a1c3-cc30d4f2e6d2,76,4,481.75,2025-01-25,165,7,0.19,4855.47,441.41,1908.6,Bi-Monthly,0,10,Suspended,1
Noah Jones,57a79baa-315a-42bf-8ace-430b9b3f48db,83,4,298.35,2025-01-22,168,0,0.0,8566.7,1070.84,1077.47,Bi-Monthly,1,13,Active,0
Noah Moore,546a546e-5e61-44a3-b7d3-c11009e277ca,52,3,247.67,2024-10-19,263,1,0.05,4406.28,293.75,1434.62,Quarterly,1,15,Active,0
Oliver Jones,9f1ae7a3-abbd-4795-b7db-b9fbb98e9099,62,1,305.44,2025-06-10,29,10,0.95,6997.1,1166.18,749.87,Monthly,0,11,Suspended,0
Noah Brown,62d8f38a-e977-4b17-8ab9-b39a925f344c,55,6,444.17,2025-01-24,166,2,0.19,5010.9,385.45,106.47,Bi-Monthly,1,9,Active,0
James Taylor,ee1f50a3-bd10-4a22-8676-f18d11a2690a,5,6,144.01,2024-08-06,337,9,0.06,7534.31,684.94,2448.95,Quarterly,1,9,Suspended,1
Oliver Smith,3c296dfb-6c2f-48ef-b752-73fe869c72fd,74,7,318.59,2025-04-17,83,3,0.84,8242.96,1648.59,2335.61,Bi-Monthly,0,5,Suspended,0
Noah Brown,38d74f9e-0c0c-4bac-8edc-2d4b473914f2,37,2,171.39,2024-10-16,266,1,0.11,2407.39,240.74,1862.76,Monthly,0,1,Closed,1
Isabella Moore,ba0ece25-a63f-43e2-a5c8-51e0f870ade4,55,3,305.73,2024-08-01,342,0,0.0,3166.82,211.12,507.9,Monthly,1,3,Closed,1
Sophia Moore,a63a0fc8-6c82-4fbd-9917-b4b591f246a4,94,3,241.97,2024-08-05,338,7,0.41,9032.54,645.18,144.6,Quarterly,0,4,Closed,0
Isabella Taylor,d525fbc3-45ed-48ff-b896-b44c9f8302d2,51,1,341.9,2025-05-09,61,3,0.4,2057.23,137.15,850.73,Quarterly,0,8,Closed,1
Olivia Wilson,dc0f603e-9552-4510-9966-c64b70e740fd,62,7,444.9,2025-05-03,67,3,0.48,5467.54,1093.51,496.35,Bi-Monthly,0,12,Active,0
Liam Smith,7fa4f53d-b4b3-46b0-9378-d7a389360083,116,2,165.16,2025-03-10,121,7,0.41,9982.52,665.5,4635.76,Monthly,1,9,Active,0
James Wilson,26985a7e-76c1-4ba9-b59a-d27a5cdac11a,66,8,394.12,2025-05-09,61,3,0.04,1750.26,125.02,1106.88,Quarterly,1,10,Closed,0
Isabella Johnson,7abf6ccb-29b2-4ac7-bf0f-f153ea73303b,118,8,142.43,2024-10-18,264,9,0.41,8674.24,578.28,4255.49,Bi-Monthly,1,3,Suspended,1
Olivia Miller,f40c8381-4281-4aff-ad93-f5c94cf31224,94,2,472.95,2025-06-29,10,2,0.27,6589.59,599.05,4737.63,Monthly,0,13,Active,0
William Jones,22c83257-87dc-4567-a290-93057ef19146,63,4,272.71,2024-12-18,203,10,0.81,8997.04,749.75,1729.3,Monthly,0,5,Active,0
Oliver Taylor,d62e04b4-80ff-4fb1-8af5-bd58f35d754e,33,3,212.9,2024-08-30,313,6,0.62,7455.68,621.31,2395.77,Quarterly,1,0,Active,0
Liam Taylor,cf4c543a-90e3-4d5e-b6a3-6818b8056403,76,3,419.52,2025-05-15,55,2,0.03,3685.73,368.57,1805.73,Monthly,0,4,Active,0
Noah Taylor,70e10707-1b61-4742-8287-c637bd19cb6d,97,4,205.76,2025-02-01,158,5,0.25,7581.27,583.17,1903.98,Monthly,1,2,Suspended,1
James Taylor,c8401be4-080b-4858-afe2-b7965c3a01c5,27,8,127.13,2024-12-28,193,3,0.16,7704.21,963.03,1281.24,Bi-Monthly,0,8,Suspended,0
William Williams,1dd98031-b625-4fba-a9bf-07b584c57ac2,11,1,167.66,2025-01-04,186,1,0.62,2834.44,404.92,558.26,Monthly,1,10,Closed,1
James Moore,d8494308-8ac6-4f33-81f2-adbfd773712c,4,6,124.88,2024-09-08,304,8,0.81,3123.79,446.26,2525.6,Monthly,0,6,Suspended,0
Olivia Moore,19f3b02c-dc09-432b-951a-96db0cd0c4c7,14,5,162.36,2024-08-13,330,5,0.88,8585.98,1226.57,2393.93,Bi-Monthly,1,10,Closed,1
Liam Brown,72df491d-e698-46ae-9fc5-7d0b9752769a,62,3,242.34,2024-10-04,278,2,0.59,5017.09,1003.42,277.87,Quarterly,0,10,Active,0
Oliver Williams,29503840-c890-4140-8dc5-f8b97e48faa6,19,3,426.77,2024-07-27,347,9,0.54,4353.8,544.23,3711.47,Bi-Monthly,1,0,Active,0
Emma Johnson,f52872db-8a4f-4e3d-b388-4d06ef90f15d,21,6,212.15,2025-04-15,85,9,0.23,2162.78,180.23,2666.32,Monthly,1,4,Suspended,0
William Moore,e34b8c95-26f5-423d-9ccf-6b103d8931f7,20,5,176.4,2025-03-17,114,10,0.2,8859.89,1476.65,3541.57,Bi-Monthly,0,13,Closed,1
Isabella Miller,8ee65e81-4380-423d-80c3-a7e5edb90076,55,1,189.48,2025-07-05,4,5,0.79,7608.56,585.27,198.11,Monthly,1,4,Active,0
Oliver Brown,b628bec7-2e76-4b8f-8041-d30e738e003e,1,6,416.22,2025-01-22,168,1,0.67,1703.54,121.68,813.74,Quarterly,1,12,Suspended,0
James Jones,4727296d-6acc-4ef6-a6c9-d0ece32a35ad,69,1,346.68,2024-12-06,215,10,0.16,4094.79,409.48,1483.74,Monthly,0,11,Active,0
Olivia Davis,2972a3b9-7639-451c-9083-c2350ce6d90d,29,1,273.12,2025-03-08,123,9,0.3,9248.13,1156.02,2019.65,Bi-Monthly,0,3,Active,0
Isabella Brown,2e37cbaa-9c06-4223-8e90-2439618e86d1,56,6,131.42,2025-04-05,95,1,0.32,9287.69,1326.81,2505.36,Monthly,0,6,Suspended,1
Olivia Brown,66972f4c-e96d-4846-a7fd-6cf352474c93,33,2,228.39,2024-09-19,293,1,0.94,1005.92,143.7,519.24,Bi-Monthly,1,2,Suspended,1
Emma Miller,17899c89-2205-49d1-91b5-bb59da64490a,82,8,472.79,2025-03-06,125,8,0.77,8494.78,606.77,2156.68,Monthly,0,2,Closed,0
Olivia Williams,936e9607-9d18-4ff9-9e38-7de75d4f9e28,96,4,139.71,2024-10-03,279,9,0.54,3525.36,320.49,2985.68,Monthly,1,3,Suspended,0
Olivia Miller,6d8d7a26-3e41-41f8-9a22-ac4b0c5aac4e,71,7,105.41,2025-06-21,18,8,0.59,5410.73,601.19,384.22,Monthly,0,8,Active,0
Liam Moore,479be896-8480-4845-80df-2950daed8286,67,3,176.16,2025-03-31,100,9,0.41,4721.43,314.76,2708.97,Quarterly,0,11,Closed,1
Ava Williams,d92e8ba3-328d-40a1-84c0-3f596802c49d,21,4,384.69,2024-11-15,236,4,0.67,2232.76,318.97,3956.79,Quarterly,0,15,Suspended,0
Emma Williams,8d27b815-eccb-4c8c-9ec9-60a20fbee894,14,1,117.29,2025-07-01,8,10,0.32,3622.45,517.49,4357.07,Monthly,0,0,Suspended,1
James Brown,6ef6529b-24ac-4b98-ae30-8b03f0a6f720,69,4,223.41,2024-10-06,276,3,0.39,7655.93,510.4,4040.29,Bi-Monthly,0,6,Active,0
Ava Davis,a58ad183-53ce-4aa1-8df1-94d262a81bba,40,6,353.97,2025-03-19,112,9,0.52,7436.18,929.52,4994.19,Monthly,1,12,Active,0
Isabella Miller,531dd9fc-609a-4ef7-839a-438c117ad3b0,110,2,301.5,2024-09-02,310,8,0.35,8065.69,672.14,3837.92,Monthly,0,0,Closed,0
Oliver Jones,bf8b305e-b2c0-41de-b412-6ccf886c10a2,30,7,353.31,2024-10-03,279,5,0.46,2797.8,233.15,2402.7,Monthly,0,1,Closed,1
Emma Miller,b2b93b25-9ed9-4a0e-a685-dd56e3e8c6ec,100,3,404.62,2025-03-27,104,5,0.06,6936.2,693.62,715.55,Quarterly,1,15,Closed,0
James Brown,993a14a8-8299-460e-a44c-8be795953c31,42,7,353.25,2025-07-03,6,0,0.0,6432.33,804.04,673.42,Quarterly,0,13,Active,0
William Davis,82f415f0-0baf-446f-a6dc-401b432d6dfa,81,2,423.21,2025-04-26,74,7,0.22,6193.17,688.13,3800.4,Bi-Monthly,1,1,Suspended,1
Liam Johnson,74954737-e2c2-4aa1-8632-b4b7049ddea0,13,4,410.84,2025-04-28,72,7,0.13,3415.5,487.93,1450.61,Monthly,0,4,Suspended,1
Emma Davis,a8e73420-3aee-48ca-a1d3-8fa1f2d27a94,34,5,193.63,2024-11-17,234,3,0.53,6694.82,557.9,3322.77,Bi-Monthly,0,6,Closed,1
William Moore,a675527d-413b-4532-a11f-e98ce3b026bd,114,1,148.62,2025-02-03,156,1,0.85,9655.1,1072.79,468.85,Monthly,1,7,Active,0
Emma Taylor,fd20ca0d-8073-4ba5-97dc-a4999cb1b8c5,17,3,180.81,2025-05-21,49,0,0.0,8642.85,960.32,2349.96,Bi-Monthly,0,15,Closed,0
Sophia Johnson,ee8ad8e4-bde7-49de-92c5-16d277f12574,76,4,206.8,2024-11-08,243,4,0.35,3820.66,477.58,3325.94,Quarterly,0,10,Closed,1
Oliver Moore,0fa8b76a-cc67-4d47-aee3-c3a1a6a82e43,32,8,390.11,2024-08-14,329,0,0.0,9361.52,1040.17,2967.16,Monthly,1,2,Suspended,1
Oliver Miller,c2be9dfa-4cd1-452e-a638-7d3170554f90,85,8,404.81,2024-09-06,306,4,0.05,2551.93,182.28,1324.17,Monthly,1,10,Suspended,1
Olivia Johnson,ed4a6080-4589-4557-84d8-2f9fea143c5b,1,5,181.57,2025-06-11,28,1,0.16,6813.14,757.02,2774.14,Bi-Monthly,0,12,Suspended,1
Liam Brown,c81c0a13-96d5-47dd-baf0-b549af55d248,34,7,263.64,2024-08-09,334,5,0.03,1971.51,328.58,915.83,Quarterly,1,14,Suspended,0
James Jones,a3e2ce7d-3640-49b1-887c-7a7d83127533,48,3,369.9,2024-09-19,293,2,0.99,6387.71,912.53,4463.31,Monthly,0,3,Active,0
Noah Moore,b32f337c-d865-4b59-9fa5-44c5b3bfd144,50,8,439.73,2025-06-29,10,9,0.64,1466.02,133.27,905.25,Quarterly,0,2,Closed,0
Emma Smith,19225934-ffe4-4ed9-85f3-2bea09ebc090,26,6,164.62,2024-10-16,266,8,0.6,1476.85,113.6,651.38,Bi-Monthly,0,13,Suspended,0
Emma Davis,d1c3b081-0a9f-424b-9121-46cc15ef521e,12,5,218.76,2024-08-01,342,6,0.95,6417.82,916.83,1839.04,Bi-Monthly,0,9,Active,0
Olivia Miller,19a99a1a-0122-4076-978e-5e97740a611f,24,4,260.74,2025-05-29,41,8,0.02,4941.63,411.8,2127.43,Monthly,0,4,Closed,0
Oliver Taylor,ade85857-8b47-4cbc-953c-4cef154dd66b,100,2,362.18,2025-02-13,146,7,0.58,8966.48,1280.93,302.58,Monthly,0,8,Active,0
Ava Davis,814303d8-6911-422c-a2f9-26efd89beb31,94,8,377.44,2024-10-11,271,9,0.62,7696.76,549.77,4324.59,Bi-Monthly,1,14,Closed,0
Isabella Brown,0811bbf5-670d-4ae1-8d48-582ca763e873,15,3,173.67,2025-06-18,21,8,0.55,2016.87,134.46,2945.61,Bi-Monthly,1,11,Closed,1
James Miller,43725039-367a-421d-9fb2-7649d896871a,70,3,247.21,2025-06-24,15,3,0.66,5184.42,471.31,319.2,Bi-Monthly,0,7,Closed,0
Oliver Smith,84530332-2bd8-4085-87a0-3472cace3bc7,14,4,214.1,2024-11-07,244,4,0.38,4538.27,378.19,3374.53,Bi-Monthly,1,0,Suspended,0
Ava Wilson,dca65b4b-fa3e-42c4-84b6-0ef642035978,3,5,149.17,2025-03-01,130,5,0.34,9985.54,907.78,4247.33,Monthly,0,8,Suspended,1
Noah Moore,a98308bd-30a8-464b-842c-d09c27aaff3d,3,5,356.23,2024-09-23,289,9,0.76,2950.16,210.73,945.15,Monthly,0,1,Closed,1
Sophia Wilson,bb320bce-13c2-4c84-9bed-e3bc6cf7246d,18,7,143.94,2025-05-23,47,6,0.76,9855.77,1642.63,3106.94,Bi-Monthly,1,1,Closed,1
James Smith,669a9ff2-dc78-4370-81bf-d73d3c465d6f,8,5,273.34,2024-07-30,344,3,0.1,1380.18,106.17,1981.63,Quarterly,1,5,Closed,0
Isabella Johnson,5a154282-b16d-490d-a1fe-df5bbdbea4c5,54,5,413.78,2025-02-10,149,8,0.45,8070.39,538.03,2308.39,Bi-Monthly,0,0,Suspended,0
Sophia Taylor,5fc8915b-a0d5-46a6-b462-6b4e85045217,104,6,321.17,2024-11-08,243,0,0.0,1468.03,122.34,1189.92,Quarterly,1,1,Closed,1
William Miller,ba9801c6-1935-438f-a4e9-fad97dc0b148,92,7,322.82,2024-10-16,266,1,0.59,2728.02,209.85,2127.71,Monthly,1,4,Active,0
Isabella Williams,0f75996e-f958-44cd-af93-9717d63ebbbb,35,8,494.38,2025-01-20,170,5,0.17,8778.51,798.05,3983.09,Bi-Monthly,0,6,Closed,1
Liam Jones,55cc19e5-0af7-405c-8615-4c24bab8e129,58,1,179.47,2024-09-19,293,2,0.55,5981.44,398.76,4561.18,Quarterly,1,6,Closed,0
William Jones,14a17795-10dc-49f4-8aa8-2ca4bf63a37a,62,7,239.8,2024-10-29,253,3,0.01,2612.91,522.58,560.49,Monthly,1,9,Closed,1
Olivia Miller,d3ed13eb-5881-427b-8f20-0df06cd7200c,93,8,295.52,2024-11-04,247,3,0.05,7605.42,585.03,4534.76,Bi-Monthly,1,11,Closed,0
James Jones,32aae70d-8b38-4adf-aa7f-174553358e5b,61,5,499.02,2024-12-26,195,4,0.17,6198.89,688.77,187.85,Quarterly,1,14,Suspended,1
Isabella Taylor,6366f769-4888-4ac1-931a-8d3335b41a79,55,8,154.01,2024-10-05,277,0,0.0,6636.4,948.06,2574.6,Monthly,0,1,Closed,0
Noah Johnson,bde8ce94-5a81-480f-b91c-d8a83e1741d0,100,6,110.73,2024-12-03,218,10,0.58,4337.75,722.96,1719.92,Bi-Monthly,0,0,Suspended,0
